code,description, precio_lista , precio_compra ,cant_caja,content,um,grupo,create_time,
584,SHEIK DURAZNO .250 GRS , 12.00000000 , 12.00000000 ,10,250,3,3290,null,
583,SHEIK FRESA .250 GRS , 12.00000000 , 12.00000000 ,10,250,3,3290,null,
585,SHEIK PIÑA-COCO .250 GRS , 12.00000000 , 12.00000000 ,10,250,3,3290,null,
867,SHOT CHOCOLATE BIOPET .250 ML , 13.00000000 , 13.00000000 ,10,250,4,3292,null,
825,SHOT FRESA SHOT BIOPET  .250 ML , 13.00000000 , 13.00000000 ,10,250,4,3292,null,
826,SHOT VAINILLA SHOT BIOPET .250 ML, 13.00000000 , 13.00000000 ,10,250,4,3292,null,
24,TIKITO CHOCO FRESCO .236 ML, 10.00000000 , 10.00000000 ,10,236,4,3286,null,
14,TIKITO FRESA FRESCO .236 ML, 10.00000000 , 10.00000000 ,10,236,4,3286,null,
959,TIKITO UP CHOCOLATE .236 ML , 10.00000000 , 10.00000000 ,10,236,4,3293,null,
960,TIKITO UP FRESA .236 ML , 10.00000000 , 10.00000000 ,10,236,4,3293,null,
961,TIKITO UP VAINILLA .236 ML , 10.00000000 , 10.00000000 ,10,236,4,3286,null,
17,TIKITO VAINILLA FRESCO .236 ML , 10.00000000 , 10.00000000 ,10,236,4,3286,null,
685663-4332,TINAS TRES GENERACIONES , 0.10000000 , 0.10000000 ,10,1,8,3509,null,
C11,TOCINO AREZZO .250 GRS, 35.00000000 , 35.00000000 ,10,250,3,3291,null,
